column,description,code,rule
RatecodeID,'RatecodeID' has less than 24% missing values,".hasCompleteness(""RatecodeID"", lambda x: x >= 0.76, ""It should be above 0.76!"")","If a column is incomplete in the sample, we model its completeness as a binomial variable, estimate a confidence interval and use this to define a lower bound for the completeness"
VendorID,"'VendorID' has value range '2', '1', '7', '6'",".isContainedIn(""VendorID"", [""2"", ""1"", ""7"", ""6""])","If we see a categorical range for a column, we suggest an IS IN (...) constraint"
VendorID,'VendorID' is not null,".isComplete(""VendorID"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
VendorID,"'VendorID' has value range '2', '1' for at least 98.0% of values",".isContainedIn(""VendorID"", [""2"", ""1""], lambda x: x >= 0.98, ""It should be above 0.98!"")","If we see a categorical range for most values in a column, we suggest an IS IN (...) constraint that should hold for most values"
VendorID,'VendorID' has no negative values,".isNonNegative(""VendorID"")","If we see only non-negative numbers in a column, we suggest a corresponding constraint"
tip_amount,'tip_amount' is not null,".isComplete(""tip_amount"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
payment_type,"'payment_type' has value range '1', '0', '2', '4', '3'",".isContainedIn(""payment_type"", [""1"", ""0"", ""2"", ""4"", ""3""])","If we see a categorical range for a column, we suggest an IS IN (...) constraint"
payment_type,'payment_type' is not null,".isComplete(""payment_type"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
payment_type,"'payment_type' has value range '1', '0', '2' for at least 97.0% of values",".isContainedIn(""payment_type"", [""1"", ""0"", ""2""], lambda x: x >= 0.97, ""It should be above 0.97!"")","If we see a categorical range for most values in a column, we suggest an IS IN (...) constraint that should hold for most values"
payment_type,'payment_type' has no negative values,".isNonNegative(""payment_type"")","If we see only non-negative numbers in a column, we suggest a corresponding constraint"
fare_amount,'fare_amount' is not null,".isComplete(""fare_amount"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
passenger_count,"'passenger_count' has value range '1', '2' for at least 95.0% of values",".isContainedIn(""passenger_count"", [""1"", ""2""], lambda x: x >= 0.95, ""It should be above 0.95!"")","If we see a categorical range for most values in a column, we suggest an IS IN (...) constraint that should hold for most values"
passenger_count,'passenger_count' has no negative values,".isNonNegative(""passenger_count"")","If we see only non-negative numbers in a column, we suggest a corresponding constraint"
passenger_count,'passenger_count' has less than 24% missing values,".hasCompleteness(""passenger_count"", lambda x: x >= 0.76, ""It should be above 0.76!"")","If a column is incomplete in the sample, we model its completeness as a binomial variable, estimate a confidence interval and use this to define a lower bound for the completeness"
store_and_fwd_flag,"'store_and_fwd_flag' has value range 'N', 'Y'",".isContainedIn(""store_and_fwd_flag"", [""N"", ""Y""])","If we see a categorical range for a column, we suggest an IS IN (...) constraint"
store_and_fwd_flag,'store_and_fwd_flag' has value range 'N' for at least 99.0% of values,".isContainedIn(""store_and_fwd_flag"", [""N""], lambda x: x >= 0.99, ""It should be above 0.99!"")","If we see a categorical range for most values in a column, we suggest an IS IN (...) constraint that should hold for most values"
store_and_fwd_flag,'store_and_fwd_flag' has less than 24% missing values,".hasCompleteness(""store_and_fwd_flag"", lambda x: x >= 0.76, ""It should be above 0.76!"")","If a column is incomplete in the sample, we model its completeness as a binomial variable, estimate a confidence interval and use this to define a lower bound for the completeness"
extra,'extra' is not null,".isComplete(""extra"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
cbd_congestion_fee,'cbd_congestion_fee' is not null,".isComplete(""cbd_congestion_fee"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
congestion_surcharge,'congestion_surcharge' has less than 24% missing values,".hasCompleteness(""congestion_surcharge"", lambda x: x >= 0.76, ""It should be above 0.76!"")","If a column is incomplete in the sample, we model its completeness as a binomial variable, estimate a confidence interval and use this to define a lower bound for the completeness"
total_amount,'total_amount' is not null,".isComplete(""total_amount"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
tpep_pickup_datetime,'tpep_pickup_datetime' is not null,".isComplete(""tpep_pickup_datetime"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
tpep_pickup_datetime,'tpep_pickup_datetime' is unique,".isUnique(""tpep_pickup_datetime"")","If the ratio of approximate num distinct values in a column is close to the number of records (within the error of the HLL sketch), we suggest a UNIQUE constraint"
mta_tax,'mta_tax' is not null,".isComplete(""mta_tax"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
